类目id:11  类目名称:电脑硬件/显示器/电脑周边 
类目id:1101  类目名称:笔记本电脑 
类目id:110201  类目名称:电脑硬件/显示器/电脑周边>主板 
类目id:110202  类目名称:电脑硬件/显示器/电脑周边>内存 
类目id:110203  类目名称:电脑硬件/显示器/电脑周边>CPU 
类目id:110204  类目名称:电脑硬件/显示器/电脑周边>电脑周边>软驱 
类目id:110205  类目名称:电脑硬件/显示器/电脑周边>声卡 
类目id:110206  类目名称:电脑硬件/显示器/电脑周边>显卡 
类目id:110207  类目名称:电脑硬件/显示器/电脑周边>机械硬盘 
类目id:110209  类目名称:网络设备/网络相关>网卡 
类目id:110210  类目名称:电脑硬件/显示器/电脑周边>键盘 
类目id:110211  类目名称:电脑硬件/显示器/电脑周边>机箱 
类目id:110212  类目名称:电脑硬件/显示器/电脑周边>电脑周边>光驱/刻录/DVD 
类目id:110215  类目名称:电脑硬件/显示器/电脑周边>散热器/风扇 
类目id:110216  类目名称:电脑硬件/显示器/电脑周边>电脑视听配件>电视卡/电视盒 
类目id:110219  类目名称:3C数码配件>USB电脑周边>USB HUB/转换器 
类目id:110308  类目名称:DIY电脑>DIY兼容机 
类目id:1104  类目名称:3C数码配件>数码周边>PDA/掌上电脑 
类目id:110501  类目名称:办公设备/耗材/相关服务>扫描仪 
类目id:110502  类目名称:电脑硬件/显示器/电脑周边>显示器&支架>显示器 
类目id:110508  类目名称:电脑硬件/显示器/电脑周边>电脑视听配件>摄像头 
类目id:110510  类目名称:电脑硬件/显示器/电脑周边>电脑周边>图文信息/采集卡 
类目id:110511  类目名称:电脑硬件/显示器/电脑周边>手写输入/绘图板 
类目id:110520  类目名称:电脑硬件/显示器/电脑周边>电脑周边>鼠标垫/贴/腕垫 
类目id:110805  类目名称:网络设备/网络相关>交换机 
类目id:110808  类目名称:网络设备/网络相关>路由器>普通路由器 
类目id:110809  类目名称:网络设备/网络相关>其它网络相关 
类目id:111002  类目名称:网店/网络服务/软件>云计算>域名服务 
类目id:111006  类目名称:网店/网络服务/软件>云计算>虚拟主机 
类目id:111201  类目名称:办公设备/耗材/相关服务>复合复印机 
类目id:111202  类目名称:办公设备/耗材/相关服务>传真/通信设备>传真机 
类目id:111211  类目名称:办公设备/耗材/相关服务>其它办公设备>其它 
类目id:111214  类目名称:办公设备/耗材/相关服务>门禁考勤器材>考勤门禁 
类目id:111215  类目名称:办公设备/耗材/相关服务>点/验钞/收款机及配件>点钞机 
类目id:111217  类目名称:办公设备/耗材/相关服务>其它办公设备>打字机 
类目id:111219  类目名称:办公设备/耗材/相关服务>投影机 
类目id:111220  类目名称:办公设备/耗材/相关服务>点/验钞/收款机及配件>收款机 
类目id:111403  类目名称:办公设备/耗材/相关服务>墨粉硒鼓耗材类>墨粉/碳粉 
类目id:111404  类目名称:办公设备/耗材/相关服务>墨粉硒鼓耗材类>墨盒 
类目id:111405  类目名称:办公设备/耗材/相关服务>墨粉硒鼓耗材类>硒鼓/粉盒 
类目id:111406  类目名称:办公设备/耗材/相关服务>磁盘刻录存储类>刻录盘 
类目id:111409  类目名称:办公设备/耗材/相关服务>其它耗材 
类目id:111703  类目名称:3C数码配件>3G无线上网卡设备 
类目id:1205  类目名称:影音电器>耳机/耳麦 
类目id:120608  类目名称:影音电器>随身听/便携视听/收音>TAPE磁带随身听 
类目id:120611  类目名称:影音电器>影音家电配件>碟/电池/电源适配器 
类目id:120612  类目名称:影音电器>随身听/便携视听/收音>便携VCD 
类目id:120826003  类目名称:电子/电工>O2O专用（天猫专用） 
类目id:120826007  类目名称:网络游戏点卡>X-行星边际2 
类目id:120826009  类目名称:网络游戏点卡>J-街机三国 
类目id:120826010  类目名称:网络游戏点卡>H-黑暗帝国 
类目id:120830004  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>发动机皮带/链条更换工时 
类目id:120830005  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>倒车镜/后视镜安装工时 
类目id:120830006  类目名称:网络游戏点卡>J-极光世界 
类目id:120832002  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>冷却系统部件安装改装工时 
类目id:120832004  类目名称:书籍/杂志/报纸>艺术>自由组套 
类目id:120832007  类目名称:网络游戏点卡>J-将军令 
类目id:120832008  类目名称:汽车/用品/配件/改装>实体服务>内外饰加装装潢改装工时>轮眉/灯眉安装改装工时 
类目id:120832013  类目名称:教育培训>线上远程教学（已废弃，勿发）>学前教育在线培训（新） 
类目id:120834001  类目名称:度假线路/签证送关/旅游服务>自由行/跟团游>旅行机票 
类目id:120834004  类目名称:网络游戏点卡>D-斗战神 
类目id:120834005  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>电气电路部件安装改装工时 
类目id:120834006  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>供油系统部件安装改装工时 
类目id:120836002  类目名称:商业/办公家具>O2O专用（天猫专用） 
类目id:120836006  类目名称:网络游戏点卡>D-DOTA2 
类目id:120836007  类目名称:网络游戏点卡>L-零世界 
类目id:120836012  类目名称:汽车/用品/配件/改装>实体服务>上门服务>上门搭电/换电瓶/补胎/换胎 
类目id:120838004  类目名称:网络游戏点卡>J-君王2 
类目id:120838006  类目名称:网络游戏点卡>S-蜀山传奇 
类目id:120838007  类目名称:汽车/用品/配件/改装>实体服务>电子产品安装改装工时>定位器/追踪器安装工时 
类目id:120838010  类目名称:教育培训>线上远程教学（已废弃，勿发）>学历教育在线培训（新） 
类目id:120838013  类目名称:网络游戏点卡>Q-企鹅战争 
类目id:120840001  类目名称:住宅家具>O2O专用（天猫专用） 
类目id:120840004  类目名称:网络游戏点卡>L-灵将 
类目id:120840005  类目名称:购物提货券>美食代金券>中餐/地方菜系 
类目id:120840006  类目名称:网络游戏点卡>D-大三国志 
类目id:120842002  类目名称:网络游戏点卡>D-东方故事 
类目id:120842003  类目名称:网络游戏点卡>T-同城游 
类目id:120844003  类目名称:网络游戏点卡>Y-云中书城 
类目id:120844004  类目名称:汽车/用品/配件/改装>实体服务>内外饰加装装潢改装工时>后备箱开启/助力安装工时 
类目id:120844008  类目名称:教育培训>线上远程教学（已废弃，勿发）>职场/管理在线培训（新） 
类目id:120844009  类目名称:教育培训>线上远程教学（已废弃，勿发）>语言在线培训（新） 
类目id:120844010  类目名称:教育培训>线上远程教学（已废弃，勿发）>中小学辅导在线培训（新） 
类目id:120846007  类目名称:网络游戏点卡>L-龙之力量 
类目id:120846008  类目名称:网络游戏点卡>S-神雕 
类目id:120846009  类目名称:网络游戏点卡>S-三国演义 
类目id:120846011  类目名称:网络游戏点卡>P-PPTV 
类目id:120846012  类目名称:网络游戏点卡>L-龙纹 
类目id:120850004  类目名称:家装主材>O2O专用（天猫专用） 
类目id:120850005  类目名称:网络游戏点卡>X-寻龙记 
类目id:120850006  类目名称:网络游戏点卡>N-逆战 
类目id:120850008  类目名称:网络游戏点卡>N-NBA2K 
类目id:120850010  类目名称:汽车/用品/配件/改装>实体服务>内外饰加装装潢改装工时>座套安装改装工时 
类目id:120850014  类目名称:教育培训>线上远程教学（已废弃，勿发）>文体艺术在线培训（新） 
类目id:120852005  类目名称:汽车/用品/配件/改装>实体服务>零件保养件安装更换改装工时>雨刮器安装更换工时 
类目id:120854005  类目名称:汽车/用品/配件/改装>实体服务>电子产品安装改装工时>行车记录仪安装工时 
类目id:120856003  类目名称:书籍/杂志/报纸>儿童读物/教辅>自由组套 
